,ClonalityCatFinal,USDAGroup,USDAHabit,USDADuration,PollMode1,DispMode1,Genus,Species,Family,USDACode,WorZ_SppCode,seedmass_mg,dispmass_mg,n_seed_pop,leaf_height_cm,flwr_height_cm,n_height_pop,fresh_mass_g,dry_mass_g,n_leaf_pop,WI_native,WI_C,WI_W,MO_native,MO_C,MO_W,underground,jmclonal,WI_wet,MO_wet,sla,n_sla_pop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ClonalPhl,Dicot,Forb_herb,Perennial,Butterfly,Ballistic,Phlox,pilosa,Polemoniaceae,PHPI,ZPHLPIL,1.9342,1.9342,1,28.1,28.6,1,0.4825,0.09,2,NA,NA,NA,NA,NA,NA,4,4,FACU,FACU,173.1784615,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ClonalGuer,Dicot,Forb_herb,Perennial,Insect,Unassisted,Satureja,arkansana,Lamiaceae,CLAR5,ZSATARK,0.670333333,0.670333333,1,18.5,25,1,0.43,0.075,1,NA,NA,NA,NA,NA,NA,5,5,FACW,FACU,227.64,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Wind,Clematis,fremontii,Ranunculaceae,CLFR,ZCLEFRE,7.659938889,9.234021368,3,31.1,26.9,1,10.065,2.995,1,NA,NA,NA,native,10,5,5,5,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,MammalBird,Physalis,pumila,Solanaceae,PHPU8,ZPHYPUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,MammalBird,Physalis,virginiana,Solanaceae,PHVI5,ZPHYVIR,0.978333333,0.978333333,2,17,10.625,2,0.615,0.125,3,NA,NA,NA,NA,NA,NA,5,5,NA,NA,183.3127041,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ClonalGuer,Dicot,NA,NA,NA,NA,Physalis,L.,Solanaceae,PHYSA,ZPHYSPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,NonClonal,Dicot,Forb_herb,AB,Wind,Adhesive,Plantago,virginica,Plantaginaceae,PLVI,ZPLAVIR,0.4894,0.4894,1,1.5,6.5,1,0.975,0.155,2,NA,NA,NA,NA,NA,NA,1,1,FACU,UPL,207.6628571,1
